platform_id,nameOfPlatform
114,"Nintendo Switch, iOS, Nintendo DS, Xbox 360, PlayStation 3, PlayStation 2, PSP, Wii"
115,"PC, Android, macOS, Linux, Xbox 360, PlayStation 3"
116,"PC, Android, macOS, Linux, Xbox 360, PlayStation 3, PS Vita"
117,"PC, macOS, Linux, Xbox 360, PlayStation 3"
118,"Xbox 360, PlayStation 3, PlayStation 2, PSP, Wii"
119,"PC, Xbox 360, Xbox, PlayStation 2, GameCube, Game Boy Advance"
120,"Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
121,"Xbox 360, PlayStation 3, PlayStation 2, Wii"
122,"PC, Xbox 360, Xbox, PlayStation 2, Wii, GameCube, Game Boy Advance"
123,"Xbox 360, PlayStation 3, Wii"
124,"PC, Nintendo DS, Xbox 360, Xbox, PlayStation 3, PlayStation 2, Wii, GameCube"
125,"Nintendo DS, Xbox 360, PlayStation 3, PlayStation 2, PSP"
126,"PC, Nintendo Switch"
127,Nintendo Switch
128,"PC, PlayStation 4, Xbox, PlayStation 2, PlayStation, GameCube, Game Boy Advance"
129,"PC, PlayStation, Game Boy, SNES, Genesis, SEGA Saturn"
130,"PC, PlayStation 2, GameCube"
131,"PC, Xbox, PlayStation 2, PlayStation, GameCube"
132,"PC, PlayStation 3, GameCube"
133,"PC, PlayStation, Game Boy Color"
134,"PC, Xbox 360, PlayStation 3, PlayStation 2, PSP"
135,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Nintendo 3DS, Xbox 360, PlayStation 3, PlayStation 2, PS Vita, PSP, Wii"
136,"Xbox One, Xbox 360, PlayStation 3"
137,"Xbox 360, Xbox, PlayStation 2"
138,"PC, Xbox One, iOS, Xbox 360, PlayStation 3"
139,"PlayStation 2, Dreamcast"
140,"Wii, Genesis, SEGA Master System"
141,Android
142,"PC, PlayStation 5, PlayStation 4, Xbox Series S/X"
143,"PC, PlayStation, SEGA Saturn"
144,"PC, Nintendo 3DS, PlayStation, SNES, SEGA Saturn"
145,"PlayStation, SEGA Saturn"
146,macOS
147,"Xbox One, Nintendo Switch"
148,iOS
149,"PC, Xbox One, Xbox 360"
150,"PC, Xbox One, iOS, Xbox 360"
151,"PC, macOS, Xbox"
152,"PC, Xbox One, Xbox"
153,
154,"PlayStation 3, PlayStation, PSP"
155,"Nintendo DS, Xbox 360, PlayStation 2, PSP, Wii"
156,"Xbox 360, Xbox, PlayStation 2, GameCube"
157,"Xbox One, PlayStation 4, Nintendo Switch"
158,"Nintendo DS, Xbox 360, PlayStation 2, PSP, Wii, Game Boy Advance"
159,"Nintendo DS, Xbox 360, PlayStation 3, PlayStation 2, Wii"
160,"Nintendo DS, Xbox 360, PlayStation 3, PlayStation 2, PSP, Wii"
161,"Xbox 360, PlayStation 2, PSP"
162,"PC, Nintendo 3DS, Xbox 360, PlayStation 3, PlayStation 2, PSP, Wii"
163,"PlayStation 5, PlayStation 4"
164,"PC, PlayStation 5"
165,PlayStation 4
166,"PC, Xbox One, Nintendo Switch, iOS, Android"
167,"PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch"
168,"PC, PlayStation 4, Xbox One, iOS, Android, macOS, Xbox 360, PS Vita"
169,"PC, PlayStation 4, iOS, macOS, Linux"
170,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS"
171,"PC, Xbox One, PlayStation 4, Nintendo Switch, Nintendo 3DS, Xbox 360, PlayStation 3, Wii U"
172,"PC, PlayStation 4, Xbox One, Nintendo Switch, Xbox 360, PlayStation 3, Web"
173,"Wii, GameCube"
174,"PC, PlayStation 5, PlayStation 4, Xbox Series S/X, iOS"
175,"PlayStation 3, Wii"
176,"PlayStation 3, Wii U, Wii"
177,
178,
